epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2556.48,0.89224,0.76482,0.85849,0.91933,0.86965,0.90497,0.71344,0.61632,0.35076,0.81733,0.003333,0.003333,0.003333
2,4820.09,0.89659,0.56374,0.86442,0.93288,0.8751,0.90724,0.73309,0.57715,0.31446,0.81484,0.00660034,0.00660034,0.00660034
3,7022.76,0.88791,0.56037,0.86611,0.93481,0.87095,0.90548,0.73958,0.56721,0.32698,0.81917,0.00980168,0.00980168,0.00980168
4,9205.92,0.82648,0.51036,0.85599,0.9482,0.86188,0.9062,0.74326,0.5637,0.37024,0.82363,0.009703,0.009703,0.009703
5,11388,0.75055,0.44953,0.84091,0.95638,0.8613,0.91003,0.75116,0.54867,0.36518,0.82093,0.009604,0.009604,0.009604
6,13563.8,0.71374,0.42107,0.83348,0.96136,0.85906,0.9128,0.75878,0.53443,0.3543,0.81789,0.009505,0.009505,0.009505
7,15749.1,0.69054,0.40406,0.82937,0.95605,0.86409,0.91614,0.7651,0.52217,0.33874,0.81434,0.009406,0.009406,0.009406
8,17906.1,0.674,0.39263,0.82691,0.94136,0.87717,0.91991,0.77171,0.51128,0.32182,0.81056,0.009307,0.009307,0.009307
9,20001.9,0.66396,0.38574,0.82555,0.94338,0.88398,0.92244,0.7775,0.50037,0.30419,0.80671,0.009208,0.009208,0.009208
10,22098.8,0.65258,0.37784,0.82341,0.94947,0.88835,0.9241,0.78263,0.49049,0.28775,0.80321,0.009109,0.009109,0.009109
11,24197.8,0.64607,0.37345,0.82263,0.95445,0.89252,0.92631,0.7865,0.48201,0.27394,0.80033,0.00901,0.00901,0.00901
12,26298.1,0.6397,0.36881,0.82115,0.95494,0.8968,0.92808,0.79136,0.47434,0.2623,0.79795,0.008911,0.008911,0.008911
13,28400.3,0.6327,0.36428,0.82024,0.9564,0.89948,0.92921,0.79444,0.46821,0.25324,0.79578,0.008812,0.008812,0.008812
14,30500,0.62692,0.36044,0.81905,0.96067,0.90032,0.93038,0.79718,0.46206,0.24523,0.7942,0.008713,0.008713,0.008713
15,32600.9,0.62535,0.35859,0.81872,0.96065,0.90139,0.93101,0.79996,0.45593,0.23873,0.79278,0.008614,0.008614,0.008614
16,34699.8,0.6186,0.35492,0.81743,0.96084,0.90245,0.93196,0.80141,0.45187,0.23339,0.79183,0.008515,0.008515,0.008515
17,36798.2,0.61548,0.35266,0.8174,0.95984,0.90411,0.93262,0.80315,0.44809,0.2287,0.79096,0.008416,0.008416,0.008416
18,38894.7,0.61207,0.35052,0.81723,0.96208,0.90588,0.93372,0.8043,0.44476,0.22521,0.79016,0.008317,0.008317,0.008317
19,40992,0.60873,0.3479,0.81637,0.96366,0.90633,0.93436,0.80572,0.44199,0.22221,0.78957,0.008218,0.008218,0.008218
20,43091.9,0.60545,0.34627,0.81554,0.96357,0.90643,0.93441,0.80733,0.43937,0.22005,0.78905,0.008119,0.008119,0.008119
21,45186.2,0.60139,0.34333,0.81463,0.96447,0.90651,0.93481,0.80852,0.43717,0.21826,0.78851,0.00802,0.00802,0.00802
22,47282.2,0.59972,0.34149,0.81493,0.96565,0.90669,0.93532,0.80923,0.43473,0.21643,0.78806,0.007921,0.007921,0.007921
