epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1586.72,0.91928,0.79559,0.85596,0.92071,0.87087,0.90802,0.71787,0.6291,0.36752,0.81587,0.003333,0.003333,0.003333
2,3088.34,0.90963,0.58679,0.85968,0.93063,0.87366,0.90808,0.72928,0.5896,0.33628,0.81346,0.00660034,0.00660034,0.00660034
3,4559.77,0.89999,0.57861,0.86079,0.94015,0.87394,0.91038,0.74358,0.56855,0.33958,0.81611,0.00980168,0.00980168,0.00980168
4,6024.74,0.83597,0.52613,0.85132,0.94605,0.87063,0.91175,0.74741,0.56353,0.3798,0.81947,0.009703,0.009703,0.009703
5,7496.16,0.76299,0.46605,0.83718,0.9419,0.87479,0.91471,0.75494,0.548,0.37462,0.81649,0.009604,0.009604,0.009604
6,8972.48,0.72625,0.43782,0.83038,0.9399,0.8773,0.91792,0.76247,0.53366,0.36216,0.8132,0.009505,0.009505,0.009505
7,10450.7,0.70222,0.42005,0.82605,0.94116,0.88223,0.91974,0.76919,0.51884,0.34622,0.80972,0.009406,0.009406,0.009406
8,11929.5,0.68719,0.40959,0.8242,0.94521,0.88647,0.92233,0.77528,0.50532,0.32813,0.80623,0.009307,0.009307,0.009307
9,13433.6,0.67515,0.40078,0.82218,0.94794,0.89028,0.92493,0.78152,0.49199,0.30916,0.80268,0.009208,0.009208,0.009208
10,15129.3,0.66547,0.39336,0.82083,0.9518,0.893,0.92671,0.78696,0.48106,0.29325,0.79967,0.009109,0.009109,0.009109
11,16869.1,0.65792,0.3887,0.81951,0.9561,0.89628,0.92894,0.792,0.47173,0.27976,0.79712,0.00901,0.00901,0.00901
12,18602.7,0.65136,0.38399,0.81829,0.95777,0.89755,0.92978,0.79572,0.46513,0.26869,0.79502,0.008911,0.008911,0.008911
13,20335,0.6455,0.3789,0.81782,0.95893,0.90065,0.93088,0.79884,0.45936,0.25972,0.79341,0.008812,0.008812,0.008812
14,21916.4,0.63969,0.3755,0.81628,0.96069,0.90133,0.93178,0.80131,0.45424,0.25238,0.79205,0.008713,0.008713,0.008713
15,23600.6,0.63751,0.37343,0.81614,0.96192,0.90208,0.93224,0.80245,0.45036,0.24646,0.79099,0.008614,0.008614,0.008614
16,25473.8,0.62979,0.36902,0.81483,0.96325,0.90329,0.93328,0.80373,0.44732,0.24159,0.79015,0.008515,0.008515,0.008515
17,27314.1,0.6286,0.36718,0.81515,0.963,0.90474,0.93397,0.80497,0.44529,0.23788,0.78953,0.008416,0.008416,0.008416
18,29021.2,0.62465,0.36407,0.81498,0.96457,0.90493,0.93458,0.80694,0.44144,0.23412,0.78892,0.008317,0.008317,0.008317
19,30689.2,0.62166,0.36209,0.81371,0.96095,0.90885,0.93573,0.80763,0.43912,0.23131,0.78845,0.008218,0.008218,0.008218
20,32517.1,0.61814,0.35996,0.81337,0.96055,0.90974,0.93567,0.80854,0.43777,0.229,0.78808,0.008119,0.008119,0.008119
21,1707.45,0.61465,0.3568,0.81275,0.96016,0.91033,0.93599,0.80942,0.43661,0.22672,0.78772,0.00802,0.00802,0.00802
22,3288.67,0.61721,0.35946,0.81327,0.96146,0.91044,0.93638,0.80955,0.43649,0.22549,0.78748,0.007921,0.007921,0.007921
23,4882.08,0.61569,0.35817,0.81263,0.96238,0.91041,0.93607,0.8094,0.43623,0.22448,0.78724,0.007822,0.007822,0.007822
24,6560.18,0.61243,0.35627,0.81273,0.96122,0.90981,0.93615,0.80925,0.43656,0.22422,0.78694,0.007723,0.007723,0.007723
25,8189.99,0.60844,0.35312,0.81213,0.96064,0.91062,0.93631,0.80982,0.4364,0.22332,0.78674,0.007624,0.007624,0.007624
26,9752.66,0.60611,0.35157,0.81137,0.96146,0.91008,0.93662,0.81075,0.43487,0.22234,0.78663,0.007525,0.007525,0.007525
27,11313,0.60279,0.34902,0.81055,0.96188,0.91206,0.93739,0.8117,0.43449,0.22142,0.78636,0.007426,0.007426,0.007426
28,12872,0.60011,0.34802,0.8107,0.96383,0.91214,0.938,0.8125,0.43375,0.22045,0.78607,0.007327,0.007327,0.007327
29,14444,0.59788,0.34653,0.81058,0.96332,0.91215,0.93824,0.81325,0.43192,0.21944,0.78591,0.007228,0.007228,0.007228
30,15995.4,0.59583,0.34426,0.81013,0.96314,0.91251,0.93864,0.8133,0.43033,0.2184,0.78569,0.007129,0.007129,0.007129
31,17548.3,0.59264,0.3425,0.80984,0.96483,0.91266,0.93875,0.81391,0.42862,0.2175,0.78545,0.00703,0.00703,0.00703
32,19098.6,0.59044,0.34104,0.80926,0.96606,0.91292,0.93903,0.81406,0.42855,0.21682,0.78516,0.006931,0.006931,0.006931
33,20648.8,0.58754,0.33861,0.80946,0.96643,0.91321,0.93892,0.81485,0.42594,0.21561,0.78491,0.006832,0.006832,0.006832
34,22198.5,0.58417,0.33696,0.80844,0.96519,0.91334,0.93881,0.81558,0.42423,0.21463,0.78469,0.006733,0.006733,0.006733
35,23744.5,0.58386,0.33621,0.80841,0.96647,0.91252,0.93952,0.81678,0.42237,0.21344,0.78457,0.006634,0.006634,0.006634
36,25291.9,0.57955,0.33321,0.80772,0.96739,0.91342,0.94029,0.81799,0.42046,0.21252,0.78436,0.006535,0.006535,0.006535
37,26843.2,0.57804,0.33209,0.80779,0.9672,0.91266,0.94012,0.81787,0.41942,0.21177,0.78414,0.006436,0.006436,0.006436
38,28392.5,0.57598,0.33037,0.80775,0.9679,0.91455,0.94111,0.81816,0.41843,0.21066,0.78398,0.006337,0.006337,0.006337
39,29938.9,0.5748,0.32974,0.80737,0.96716,0.91421,0.94101,0.81872,0.41723,0.2097,0.78376,0.006238,0.006238,0.006238
40,31485.1,0.57143,0.32738,0.80671,0.96828,0.9143,0.94093,0.81938,0.41561,0.2088,0.78364,0.006139,0.006139,0.006139
41,33037.7,0.56939,0.32559,0.80598,0.96838,0.91415,0.94088,0.81995,0.41393,0.20791,0.78338,0.00604,0.00604,0.00604
42,34591.6,0.56737,0.32447,0.80619,0.97023,0.91445,0.94142,0.8205,0.41207,0.2069,0.78315,0.005941,0.005941,0.005941
43,36141.2,0.56529,0.32232,0.80621,0.97109,0.91483,0.94174,0.82153,0.41021,0.20577,0.78296,0.005842,0.005842,0.005842
44,37691.6,0.56254,0.32131,0.80508,0.97058,0.91498,0.94157,0.82221,0.40858,0.20514,0.78266,0.005743,0.005743,0.005743
45,39244.8,0.55961,0.31901,0.80477,0.97009,0.91548,0.94178,0.82287,0.40674,0.20422,0.78242,0.005644,0.005644,0.005644
46,40792.9,0.55952,0.31928,0.80472,0.96904,0.91636,0.94192,0.82384,0.40545,0.20352,0.78223,0.005545,0.005545,0.005545
47,42338.6,0.55725,0.31766,0.80458,0.97051,0.91771,0.94265,0.82403,0.40488,0.20313,0.78208,0.005446,0.005446,0.005446
48,43884,0.55442,0.31576,0.80401,0.96898,0.91794,0.94261,0.82496,0.40404,0.20317,0.78185,0.005347,0.005347,0.005347
49,45433.6,0.55358,0.31537,0.80393,0.96856,0.918,0.94271,0.82577,0.40354,0.20226,0.78165,0.005248,0.005248,0.005248
50,46980.8,0.55098,0.3133,0.80349,0.96832,0.91865,0.94294,0.82563,0.40348,0.20198,0.78159,0.005149,0.005149,0.005149
51,48527.6,0.54854,0.31107,0.80328,0.96824,0.91782,0.94266,0.82602,0.40181,0.20086,0.78146,0.00505,0.00505,0.00505
52,50077.6,0.54595,0.30921,0.80298,0.97049,0.91809,0.94333,0.82697,0.40025,0.19992,0.78133,0.004951,0.004951,0.004951
53,51686.6,0.54355,0.30841,0.80267,0.97207,0.9183,0.94412,0.8279,0.39859,0.19922,0.78109,0.004852,0.004852,0.004852
54,53264.6,0.54072,0.30676,0.80209,0.97101,0.91972,0.94458,0.82858,0.39656,0.19836,0.78083,0.004753,0.004753,0.004753
55,54899,0.53976,0.30528,0.80191,0.97247,0.91804,0.94389,0.82918,0.39529,0.19747,0.78073,0.004654,0.004654,0.004654
56,56494.4,0.53642,0.30344,0.80134,0.97265,0.91865,0.94437,0.82994,0.39393,0.19693,0.78058,0.004555,0.004555,0.004555
57,58113.8,0.53455,0.30224,0.80126,0.97273,0.91967,0.94474,0.82993,0.39368,0.19629,0.78034,0.004456,0.004456,0.004456
58,59776.4,0.53354,0.30159,0.801,0.97234,0.92011,0.9454,0.83001,0.39367,0.19616,0.78016,0.004357,0.004357,0.004357
59,61527.3,0.53006,0.29916,0.80063,0.97164,0.92155,0.94602,0.8312,0.39278,0.19553,0.78003,0.004258,0.004258,0.004258
60,63171.4,0.52779,0.29748,0.80045,0.97307,0.92013,0.94563,0.83162,0.39124,0.19463,0.77984,0.004159,0.004159,0.004159
61,65102.9,0.52698,0.29714,0.80018,0.97276,0.92135,0.94602,0.83168,0.38964,0.19404,0.77974,0.00406,0.00406,0.00406
62,67437.5,0.52339,0.29456,0.79967,0.97236,0.92075,0.94611,0.83248,0.38734,0.19304,0.77956,0.003961,0.003961,0.003961
63,69386.3,0.52289,0.29371,0.79982,0.97387,0.91965,0.94612,0.83253,0.38597,0.19238,0.77947,0.003862,0.003862,0.003862
64,70956.1,0.51837,0.29114,0.7992,0.97211,0.92048,0.94628,0.83282,0.38509,0.19176,0.77932,0.003763,0.003763,0.003763
65,72521.1,0.51685,0.29026,0.79866,0.97156,0.92141,0.94636,0.8324,0.3857,0.19158,0.77933,0.003664,0.003664,0.003664
66,74011.6,0.51443,0.28788,0.79856,0.97304,0.92127,0.94663,0.83265,0.3851,0.19095,0.77924,0.003565,0.003565,0.003565
67,75502.7,0.51181,0.28637,0.79833,0.97233,0.92097,0.94716,0.83301,0.38482,0.19046,0.77917,0.003466,0.003466,0.003466
68,76987.2,0.50777,0.28402,0.79768,0.97175,0.92151,0.94708,0.83347,0.3834,0.18975,0.77908,0.003367,0.003367,0.003367
69,78670.4,0.50706,0.28342,0.79783,0.97147,0.92216,0.94779,0.83486,0.38148,0.18891,0.77898,0.003268,0.003268,0.003268
70,80450.5,0.50352,0.2808,0.79714,0.97191,0.9224,0.94781,0.836,0.37931,0.18796,0.77883,0.003169,0.003169,0.003169
71,82845.6,0.5005,0.27922,0.79647,0.97253,0.92184,0.94773,0.83601,0.37834,0.1876,0.77869,0.00307,0.00307,0.00307
72,85172.3,0.49922,0.27784,0.79673,0.97356,0.92137,0.94801,0.83656,0.37687,0.18703,0.77848,0.002971,0.002971,0.002971
73,87392.7,0.49554,0.27558,0.79609,0.97426,0.92183,0.94814,0.83715,0.37564,0.18634,0.7783,0.002872,0.002872,0.002872
74,89187.1,0.49359,0.27484,0.79593,0.9753,0.92142,0.94802,0.8377,0.37448,0.18549,0.77815,0.002773,0.002773,0.002773
75,90928.4,0.49067,0.27207,0.79534,0.97373,0.9224,0.94833,0.83833,0.37392,0.18504,0.77799,0.002674,0.002674,0.002674
76,92609.5,0.4886,0.27092,0.79535,0.97524,0.92263,0.94874,0.83948,0.37222,0.18439,0.7778,0.002575,0.002575,0.002575
77,94276.2,0.48468,0.26839,0.79447,0.97511,0.92283,0.94869,0.84025,0.37056,0.18365,0.77765,0.002476,0.002476,0.002476
78,95957.2,0.48171,0.26611,0.79395,0.97477,0.9232,0.94887,0.84092,0.36847,0.18305,0.77746,0.002377,0.002377,0.002377
79,97709.5,0.47823,0.2635,0.7937,0.97536,0.92345,0.94932,0.84151,0.3664,0.18231,0.77738,0.002278,0.002278,0.002278
80,99425.3,0.47661,0.26287,0.79378,0.97592,0.92346,0.94947,0.84232,0.36529,0.18141,0.77726,0.002179,0.002179,0.002179
81,101066,0.47256,0.26006,0.793,0.97613,0.92337,0.94941,0.8427,0.36441,0.18057,0.77711,0.00208,0.00208,0.00208
82,102658,0.46921,0.25762,0.79297,0.9763,0.92475,0.95036,0.84359,0.36331,0.18012,0.77699,0.001981,0.001981,0.001981
83,104246,0.46639,0.25578,0.79185,0.97615,0.9254,0.95025,0.84425,0.36177,0.17922,0.77682,0.001882,0.001882,0.001882
84,105738,0.46285,0.25265,0.79212,0.97601,0.92496,0.95031,0.84507,0.35999,0.17833,0.77652,0.001783,0.001783,0.001783
85,107220,0.46056,0.25103,0.79134,0.97578,0.92607,0.951,0.84636,0.35775,0.17764,0.77629,0.001684,0.001684,0.001684
86,108706,0.45463,0.24819,0.79036,0.97629,0.92603,0.95095,0.84769,0.35573,0.17651,0.77604,0.001585,0.001585,0.001585
87,110180,0.45173,0.24534,0.78977,0.97566,0.92656,0.95137,0.84856,0.35358,0.17556,0.77579,0.001486,0.001486,0.001486
88,111656,0.44834,0.24287,0.78958,0.97453,0.92631,0.95117,0.84855,0.35252,0.17527,0.77563,0.001387,0.001387,0.001387
89,113131,0.44341,0.23972,0.7889,0.97484,0.9262,0.95118,0.84876,0.35159,0.17453,0.77543,0.001288,0.001288,0.001288
90,114605,0.43984,0.23695,0.78806,0.97504,0.92671,0.95135,0.84981,0.35012,0.17378,0.77508,0.001189,0.001189,0.001189
91,116106,0.40038,0.21725,0.77918,0.97635,0.9269,0.95178,0.85034,0.3493,0.17315,0.77501,0.00109,0.00109,0.00109
92,117578,0.39443,0.21372,0.77951,0.9767,0.92702,0.95181,0.85184,0.3472,0.17242,0.77491,0.000991,0.000991,0.000991
93,119047,0.38936,0.20988,0.77859,0.97697,0.9269,0.95198,0.85255,0.34518,0.17188,0.7748,0.000892,0.000892,0.000892
94,120520,0.3833,0.20664,0.77764,0.97746,0.92745,0.9524,0.8529,0.34344,0.17115,0.77461,0.000793,0.000793,0.000793
95,121986,0.37693,0.20266,0.77728,0.97604,0.92841,0.95318,0.8539,0.34143,0.17045,0.77451,0.000694,0.000694,0.000694
96,123453,0.37152,0.19817,0.77606,0.9771,0.92789,0.95345,0.85471,0.33928,0.16937,0.77428,0.000595,0.000595,0.000595
97,124929,0.36557,0.19389,0.77523,0.9772,0.92684,0.95294,0.85498,0.33784,0.1684,0.7741,0.000496,0.000496,0.000496
98,126400,0.35971,0.1901,0.77555,0.97728,0.92713,0.95305,0.85552,0.33593,0.16761,0.77386,0.000397,0.000397,0.000397
99,127867,0.35345,0.18499,0.77439,0.97714,0.92777,0.9535,0.8567,0.33329,0.16639,0.77353,0.000298,0.000298,0.000298
100,129342,0.34747,0.17991,0.77355,0.97659,0.92848,0.9535,0.85739,0.33108,0.16512,0.77325,0.000199,0.000199,0.000199
